map_acc	map_name	map_display_order	feature_acc	feature_name	feature_start	feature_stop	feature_type_acc	is_landmark
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Sat_413	Sat_413	354807	354807	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Sat_332	Sat_332	355952	355952	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt184	Satt184	1477747	1477747	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt531	Satt531	3758541	3758541	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt368	Satt368	6916876	6916876	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt032	Satt032	7326827	7326827	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt482	Satt482	7666569	7666569	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Sat_353	Sat_353	7701305	7701305	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt548	Satt548	15940309	15940309	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt320	Satt320	22221677	22221677	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt221	Satt221	25820020	25820020	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt605	Satt605	26104178	26104178	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt502	Satt502	26399556	26399556	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt342	Satt342	27652293	27652293	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt532	Satt532	28150684	28150684	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt169	Satt169	29837443	29837443	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt321	Satt321	29874683	29874683	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Sat_346	Sat_346	31964363	31964363	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt603	Satt603	35607691	35607691	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt515	Satt515	35652249	35652249	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt295	Satt295	37385294	37385294	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt254	Satt254	37913975	37913975	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt179	Satt179	38841871	38841871	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt383	Satt383	40096242	40096242	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Sat_201	Sat_201	41667867	41667867	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt267	Satt267	42070544	42070544	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt580	Satt580	44367759	44367759	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt203	Satt203	44873294	44873294	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt283	Satt283	46325956	46325956	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt370	Satt370	46495278	46495278	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Sat_110	Sat_110	47810549	47810549	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Sat_343	Sat_343	47892733	47892733	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt507	Satt507	47980838	47980838	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Sat_106	Sat_106	48205191	48205191	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Sat_345	Sat_345	48314314	48314314	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt198	Satt198	48555144	48555144	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt436	Satt436	48690143	48690143	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt439	Satt439	48828708	48828708	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt468	Satt468	48853939	48853939	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt077	Satt077	48901788	48901788	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Sat_036	Sat_036	49158795	49158795	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Sat_414	Sat_414	51449482	51449482	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Sat_305	Sat_305	51492625	51492625	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt407	Satt407	52288044	52288044	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt071	Satt071	52715839	52715839	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Sat_160	Sat_160	53237022	53237022	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt408	Satt408	53492309	53492309	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt147	Satt147	53920175	53920175	SSR	1
GmTE1_Gm01	Gm01	7	GmTE1_Gm01_Satt129	Satt129	54257849	54257849	SSR	1
GmTE1_Gm02	Gm02	8	GmTE1_Gm02_Sat_279	Sat_279	1974638	1974638	SSR	1
GmTE1_Gm02	Gm02	8	GmTE1_Gm02_Sat_227	Sat_227	3074479	3074479	SSR	1
GmTE1_Gm02	Gm02	8	GmTE1_Gm02_Sat_351	Sat_351	4845186	4845186	SSR	1
GmTE1_Gm02	Gm02	8	GmTE1_Gm02_Satt095	Satt095	6307574	6307574	SSR	1
GmTE1_Gm02	Gm02	8	GmTE1_Gm02_Satt701	Satt701	8703892	8703892	SSR	1
GmTE1_Gm02	Gm02	8	GmTE1_Gm02_Satt698	Satt698	8738365	8738365	SSR	1
GmTE1_Gm02	Gm02	8	GmTE1_Gm02_Sat_211	Sat_211	8742735	8742735	SSR	1
GmTE1_Gm02	Gm02	8	GmTE1_Gm02_Satt157	Satt157	9240161	9240161	SSR	1
GmTE1_Gm02	Gm02	8	GmTE1_Gm02_Sat_173	Sat_173	9385851	9385851	SSR	1
GmTE1_Gm02	Gm02	8	GmTE1_Gm02_Satt558	Satt558	10538212	10538212	SSR	1
