map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-060173-16441	BARC-060173-16441		97.29	97.29	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-018211-03157	BARC-018211-03157		97.29	97.29	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-063115-18246	BARC-063115-18246		97.28	97.28	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-007726-00090	BARC-007726-00090		95.23	95.23	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-039253-07488	BARC-039253-07488		94.90	94.90	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-042795-08412	BARC-042795-08412		94.86	94.86	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-040447-07743	BARC-040447-07743		94.20	94.20	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-010381-00621	BARC-010381-00621		94.20	94.20	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-051047-10962	BARC-051047-10962		94.20	94.20	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-044951-08843	BARC-044951-08843		93.80	93.80	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-043251-08566	BARC-043251-08566		93.76	93.76	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_Satt129	Satt129		93.50	93.50	SSR			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-008009-00213	BARC-008009-00213		93.22	93.22	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-039703-07556	BARC-039703-07556		92.97	92.97	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-032411-08968	BARC-032411-08968		92.96	92.96	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-035219-07139	BARC-035219-07139		92.81	92.81	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-025941-05177	BARC-025941-05177		92.81	92.81	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_Satt147	Satt147		92.53	92.53	SSR			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-018835-03260	BARC-018835-03260		91.32	91.32	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_Satt408	Satt408		90.07	90.07	SSR			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_Sat_160	Sat_160		87.97	87.97	SSR			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_Satt407	Satt407		87.81	87.81	SSR			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-030807-06945	BARC-030807-06945		85.93	85.93	SNP			1	
GmConsensus40_D1a	D1a	0.00	97.29	GmConsensus40_D1a_BARC-039805-07589	BARC-039805-07589		83.80	83.80	SNP			1	
