map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
GmWmPhys2008_B1S	B1S	0.00	7.30	GmWmPhys2008_B1S_WmFPC_Contig1553_type=ContigWm82	WmFPC_Contig1553		6.09	7.30	Contig_W82			0	
GmWmPhys2008_B1S	B1S	0.00	7.30	GmWmPhys2008_B1S_SSR2009_1_type=Marker_SSR-from-BAC	B1S_m_SSR2009_1	SSR2009	6.70	6.70	Marker_SSR-from-BAC			0	
GmWmPhys2008_B2P	B2P	0.00	69.17	GmWmPhys2008_B2P_WmFPC_Contig7465_type=ContigWm82	WmFPC_Contig7465		63.63	69.17	Contig_W82			0	
GmWmPhys2008_B2P	B2P	0.00	69.17	GmWmPhys2008_B2P_SSR2401_1_type=Marker_SSR-from-BAC	B2P_m_SSR2401_1	SSR2401	66.40	66.40	Marker_SSR-from-BAC			0	
GmWmPhys2008_D1-b	D1-b	0.00	81.12	GmWmPhys2008_D1-b_WmFPC_Contig163_type=ContigW82_mismatch	WmFPC_Contig163		70.47	81.12	Contig_W82_mismatch			0	
GmWmPhys2008_D1-b	D1-b	0.00	81.12	GmWmPhys2008_D1-b_SSR1522_1_type=Marker_SSR-from-BAC	D1-b_m_SSR1522_1	SSR1522	75.80	75.80	Marker_SSR-from-BAC			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig250_type=ContigW82_mismatch	WmFPC_Contig250		107.25	108.25	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig341_type=ContigW82_mismatch	WmFPC_Contig341		66.39	71.14	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_Satt503_1_type=Marker_BARCssr	G_m_Satt503_1	Satt503	68.76	68.76	Marker_BARCssr			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig348_type=ContigW82_mismatch	WmFPC_Contig348		45.11	49.43	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig381_type=ContigW82_mismatch	WmFPC_Contig381		64.22	73.30	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig385_type=ContigW82_mismatch	WmFPC_Contig385		16.96	19.54	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig455_type=ContigW82_mismatch	WmFPC_Contig455		98.36	103.24	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_A226_3_type=Marker_RFLP	G_r_A226_3	A226	100.80	100.80	Marker_RFLP			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig591_type=ContigW82_mismatch	WmFPC_Contig591		95.77	97.38	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig641_type=ContigW82_mismatch	WmFPC_Contig641		52.93	53.41	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig707_type=ContigW82_mismatch	WmFPC_Contig707		60.36	100.80	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig718_type=ContigW82_mismatch	WmFPC_Contig718		46.78	47.76	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig789_type=ContigW82_mismatch	WmFPC_Contig789		93.75	99.39	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig895_type=ContigW82_mismatch	WmFPC_Contig895		51.23	55.59	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig1043_type=ContigW82_mismatch	WmFPC_Contig1043		110.50	111.91	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_A586_2_type=Marker_RFLP	G_r_A586_2	A586	111.20	111.20	Marker_RFLP			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig1212_type=ContigW82_mismatch	WmFPC_Contig1212		62.87	64.14	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_SSR2293_1_type=Marker_SSR-from-BAC_confirmed	G_m_SSR2293_1	SSR2293	63.50	63.50	Marker_SSR-from-BAC_confirmed			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig1322_type=ContigW82_mismatch	WmFPC_Contig1322		-0.28	3.96	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig1348_type=ContigW82_mismatch	WmFPC_Contig1348		52.45	54.37	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig1599_type=ContigWm82	WmFPC_Contig1599		1.60	2.08	Contig_W82			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_Satt038_1_type=Marker_BARCssr	G_m_Satt038_1	Satt038	1.84	1.84	Marker_BARCssr			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig2039_type=ContigW82_mismatch	WmFPC_Contig2039		66.64	68.36	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_A816_1_type=Marker_RFLP	G_r_A816_1	A816	67.50	67.50	Marker_RFLP			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig2302_type=ContigW82_mismatch	WmFPC_Contig2302		60.99	62.27	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig3359_type=ContigW82_mismatch	WmFPC_Contig3359		108.42	110.58	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_A378_1_type=Marker_RFLP	G_r_A378_1	A378	109.50	109.50	Marker_RFLP			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig6136_type=ContigW82_mismatch	WmFPC_Contig6136		30.27	55.91	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_Sat_308_1_type=Marker_BARCssr	G_m_Sat_308_1	Sat_308	43.09	43.09	Marker_BARCssr			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig7308_type=ContigW82_mismatch	WmFPC_Contig7308		14.70	31.50	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig7359_type=ContigW82_mismatch	WmFPC_Contig7359		92.27	100.88	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig7374_type=ContigW82_mismatch	WmFPC_Contig7374		42.37	45.17	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig7376_type=ContigW82_mismatch	WmFPC_Contig7376		43.37	47.61	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig7508_type=ContigW82_mismatch	WmFPC_Contig7508		44.08	46.91	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig7674_type=ContigW82_mismatch	WmFPC_Contig7674		15.37	21.14	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig7737_type=ContigW82_mismatch	WmFPC_Contig7737		41.62	45.91	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig7738_type=ContigW82_mismatch	WmFPC_Contig7738		43.77	48.30	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_SSR2895_1_type=Marker_SSR-from-BAC_confirmed	G_m_SSR2895_1	SSR2895	48.30	48.30	Marker_SSR-from-BAC_confirmed			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig7783_type=ContigW82_mismatch	WmFPC_Contig7783		9.18	45.86	Contig_W82_mismatch			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_Sat_141_1_type=Marker_BARCssr_confirmed	G_m_Sat_141_1	Sat_141	9.18	9.18	Marker_BARCssr_confirmed			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig1753_type=ContigWm82	WmFPC_Contig1753		61.27	61.98	Contig_W82			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_Sat_223_1_type=Marker_BARCssr	G_m_Sat_223_1	Sat_223	61.63	61.63	Marker_BARCssr			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig1929_type=ContigWm82	WmFPC_Contig1929		17.48	19.02	Contig_W82			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_Satt217_1_type=Marker_BARCssr	G_m_Satt217_1	Satt217	18.25	18.25	Marker_BARCssr			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig2484_type=ContigWm82	WmFPC_Contig2484		59.97	60.75	Contig_W82			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_Sat_185_1_type=Marker_BARCssr	G_m_Sat_185_1	Sat_185	60.36	60.36	Marker_BARCssr			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig2506_type=ContigWm82	WmFPC_Contig2506		72.84	73.98	Contig_W82			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_Sat_143_1_type=Marker_BARCssr_confirmed	G_m_Sat_143_1	Sat_143	73.41	73.41	Marker_BARCssr_confirmed			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig2786_type=ContigWm82	WmFPC_Contig2786		50.30	50.74	Contig_W82			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_Satt352_1_type=Marker_BARCssr	G_m_Satt352_1	Satt352	50.52	50.52	Marker_BARCssr			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig3100_type=ContigWm82	WmFPC_Contig3100		99.58	100.42	Contig_W82			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_Sat_117_1_type=Marker_BARCssr_confirmed	G_m_Sat_117_1	Sat_117	100.00	100.00	Marker_BARCssr_confirmed			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig3311_type=ContigWm82	WmFPC_Contig3311		61.45	61.80	Contig_W82			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig3543_type=ContigWm82	WmFPC_Contig3543		116.23	117.36	Contig_W82			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_A681_1_type=Marker_RFLP	G_r_A681_1	A681	116.80	116.80	Marker_RFLP			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig5228_type=ContigWm82	WmFPC_Contig5228		50.30	50.74	Contig_W82			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig5493_type=ContigWm82	WmFPC_Contig5493		107.47	108.03	Contig_W82			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig5592_type=ContigWm82	WmFPC_Contig5592		52.66	53.20	Contig_W82			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_Satt594_1_type=Marker_BARCssr	G_m_Satt594_1	Satt594	52.93	52.93	Marker_BARCssr			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig3_type=ContigW82	WmFPC_Contig3		50.52	62.10	Contig_W82			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_SSR0497_1_type=Marker_SSR-from-BAC_confirmed	G_m_SSR0497_1	SSR0497	62.10	62.10	Marker_SSR-from-BAC_confirmed			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig3553_type=ContigW82	WmFPC_Contig3553		18.25	24.10	Contig_W82			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_K069_1_type=Marker_RFLP	G_r_K069_1	K069	24.10	24.10	Marker_RFLP			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_WmFPC_Contig7569_type=ContigW82	WmFPC_Contig7569		54.40	65.00	Contig_W82			0	
GmWmPhys2008_G	G	-0.28	117.36	GmWmPhys2008_G_A148_1_type=Marker_RFLP	G_r_A148_1	A148	54.40	54.40	Marker_RFLP			0	
